Requirement ,Description ,Guidance,Testing
PCI 10.5.5,PCI 10.5.5: Use file-integrity monitoring or change-detection software on logs to ensure that existing log data cannot be changed without generating alerts (although new data being added should not cause an alert).,"File-integrity monitoring or change-detection systems check for changes to critical files, and notify when such changes are noted. For file-integrity monitoring purposes, an entity usually monitors files that don’t regularly change, but when changed indicate a possible compromise. ","10.5.5 Examine system settings, monitored files, and results from monitoring activities to verify the use of file-integrity monitoring or change-detection software on logs. "
PCI 10.6,"PCI 10.6: Review logs and security events for all system components to identify anomalies or suspicious activity. Note: Log harvesting, parsing, and alerting tools may be used to meet this Requirement.","Many breaches occur over days or months before being detected. Checking logs daily minimizes the amount of time and exposure of a potential breach. 

Regular log reviews by personnel or automated means can identify and proactively address unauthorized access to the cardholder data environment. 

The log review process does not have to be manual. The use of log harvesting, parsing, and alerting tools can help facilitate the process by identifying log events that need to be reviewed. 
",10.6 Perform the following:
PCI 10.6.1,"PCI 10.6.1: Review the following at least daily: . All security events . Logs of all system components that store, process, or transmit CHD and/or SAD, or that could impact the security of CHD and/or SAD . Logs of all critical system components . Logs o","Many breaches occur over days or months before being detected. Checking logs daily minimizes the amount of time and exposure of a potential breach. 

Daily review of security events—for example, notifications or alerts that identify suspicious or anomalous activities—as well as logs from critical system components, and logs from systems that perform security functions, such as firewalls, IDS/IPS, file-integrity monitoring (FIM) systems, etc. is necessary to identify potential issues. Note that the determination of “security event” will vary 
for each organization and may include consideration for the type of technology, location, and function of the device. Organizations may also wish to maintain a baseline of “normal” traffic to help identify anomalous behavior. ","10.6.1.a Examine security policies and procedures to verify that procedures are defined for reviewing the following at least daily, either manually or via log tools: 

. All security events 
. Logs of all system components that store, process, or transmit CHD and/or SAD, or that could impact the security of CHD and/or SAD 
. Logs of all critical system components 
. Logs of all servers and system components that perform security functions (for example, firewalls, intrusion-detection systems/intrusion-prevention systems (IDS/IPS), authentication servers, e-commerce redirection servers, etc.) 

10.6.1.b Observe processes and interview personnel to verify that the following are reviewed at least daily: 

. All security events 
. Logs of all system components that store, process, or transmit CHD and/or SAD, or that could impact the security of CHD and/or SAD 
. Logs of all critical system components 
. Logs of all servers and system components that perform security functions (for example, firewalls, intrusion-detection systems/intrusion-prevention systems (IDS/IPS), authentication servers, e-commerce redirection servers, etc.). "
PCI 10.6.2,"PCI 10.6.2: Review logs of all other system components periodically based on the organization’s policies and risk management strategy, as determined by the organization’s annual risk assessment.","Logs for all other system components should also be periodically reviewed to identify indications of potential issues or attempts to gain access to sensitive systems via less-sensitive systems. The frequency of the reviews should be determined by 
an entity’s annual risk assessment. ","10.6.2.a Examine security policies and procedures to verify that procedures are defined for reviewing logs of all other system components periodically—either manually or via log tools—based on the organization’s policies and risk management strategy. 

10.6.2.b Examine the organization’s risk-assessment 
documentation and interview personnel to verify that reviews are performed in accordance with organization’s policies and risk management strategy. "
PCI 10.6.3,PCI 10.6.3: Follow up exceptions and anomalies identified during the review process.,"If exceptions and anomalies identified during the log-review process are not investigated, the entity may be unaware of unauthorized and potentially malicious activities that are occurring within their 
own network. ","10.6.3.a Examine security policies and procedures to verify that procedures are defined for following up on exceptions and anomalies identified during the review process. 

10.6.3.b Observe processes and interview personnel to verify that follow-up to exceptions and anomalies is performed. "
PCI 10.7,"PCI 10.7: Retain audit trail history for at least one year, with a minimum of three months immediately available for analysis (for example, online, archived, or restorable from backup).","Retaining logs for at least a year allows for the fact that it often takes a while to notice that a compromise has occurred or is occurring, and allows investigators sufficient log history to better determine the length of time of a potential breach 
and potential system(s) impacted. By having three months of logs immediately available, an entity can quickly identify and minimize impact of a data breach. Storing logs in off-line locations could prevent them from being readily available, 
resulting in longer time frames to restore log data, perform analysis, and identify impacted systems or data. ","10.7.a Examine security policies and procedures to verify that they define the following: 

. Audit log retention policies 
. Procedures for retaining audit logs for at least one year, with a minimum of three months immediately available online. 

10.7.b Interview personnel and examine audit logs to verify that audit logs are available for at least one year. 

10.7.c Interview personnel and observe processes to verify that at least the last three months’ logs can be immediately restored for analysis. "
PCI 10.8,"PCI 10.8: Ensure that security policies and operational procedures for monitoring all access to network resources and cardholder data are documented, in use, and known to all affected parties.","Personnel need to be aware of and following security policies and daily operational procedures for monitoring all access to network resources and 
cardholder data on a continuous basis. ","10.8 Examine documentation interview personnel to verify that security policies and operational procedures for monitoring all access to network resources and cardholder data are: 

. Documented, 
. In use, and 
. Known to all affected parties. "
PCI 10.9,"PCI 10.9: Ensure that security policies and operational procedures for monitoring all access to network resources and cardholder data are documented, in use, and known to all affected parties.",Personnel need to be aware of and following security policies and daily operational procedures for monitoring all access to network resources and cardholder data on a continuous basis,"Examine documentation and interview personnel to verify that security policies and operational procedures for monitoring all access to network resources and cardholder data are:
Documented, 
In use, and 
Known to all affected parties."
PCI 11,PCI 11: Regularly test security systems and processes,,
PCI 11.1,"PCI 11.1: Implement processes to test for the presence of wireless access points (802.11), and detect and identify all authorized and unauthorized wireless access points on a quarterly basis. Note: Methods that may be used in the process include but ar","Implementation and/or exploitation of wireless technology within a network are some of the most common paths for malicious users to gain access to the network and cardholder data. If a wireless 
device or network is installed without a company’s knowledge, it can allow an attacker to easily and “invisibly” enter the network. Unauthorized wireless devices may be hidden within or attached to a computer or other system component, or be attached directly to a network port or network device, such as a switch or router. Any such unauthorized device could result in an unauthorized access point into the environment. 

Knowing which wireless devices are authorized can help administrators quickly identify non-authorized wireless devices, and responding to the identification of unauthorized wireless access points helps to proactively minimize the exposure of CDE to malicious individuals. 

Due to the ease with which a wireless access point can be attached to a network, the difficulty in detecting their presence, and the increased risk presented by unauthorized wireless devices, these processes must be performed even when a policy exists prohibiting the use of wireless technology. 

The size and complexity of a particular environment will dictate the appropriate tools and processes to be used to provide sufficient assurance that a rogue wireless access point has not been installed in the environment. ","11.1.a Examine policies and procedures to verify processes are defined for detection and identification of both authorized and unauthorized wireless access points on a quarterly basis. 

11.1.b Verify that the methodology is adequate to detect and identify any unauthorized wireless access points, including at least the following: 

. WLAN cards inserted into system components 
. Portable or mobile devices attached to system components to create a wireless access point (for example, by USB, etc.) 
. Wireless devices attached to a network port or network device. 

11.1.c Examine output from recent wireless scans to verify that: 

. Authorized and unauthorized wireless access points are identified, and 
. The scan is performed at least quarterly for all system components and facilities. 

11.1.d If automated monitoring is utilized (for example, wireless IDS/IPS, NAC, etc.), verify the configuration will generate alerts to notify personnel. "
PCI 11.1.1,PCI 11.1.1: Maintain an inventory of authorized wireless access points including a documented business justification.,"For example: In the case of a single standalone retail kiosk in a shopping mall, where all communication components are contained within 
tamper-resistant and tamper-evident casings, performing a detailed physical inspection of the kiosk itself may be sufficient to provide assurance that a rogue wireless access point has not been attached or installed. However, in an environment with multiple nodes (such as in a large retail store, call center, server room or data center), detailed physical inspection is difficult. In this case, multiple methods may be combined to meet the requirement, such as performing physical system 
inspections in conjunction with the results of a wireless analyzer. ","11.1.1 Examine documented records to verify that an inventory of authorized wireless access points is maintained and a business justification is documented for all authorized 
wireless access points. "
PCI 11.1.2,PCI 11.1.2: Implement incident response procedures in the event unauthorized wireless access points are detected.,,"11.1.2.a Examine the organization’s incident response plan (Requirement 12.10) to verify it defines and requires a response in the event that an unauthorized wireless access point is detected. 

11.1.2.b Interview responsible personnel and/or inspect recent wireless scans and related responses to verify action is taken when unauthorized wireless access points are 
found. "
PCI 11.2,"PCI 11.2: Run internal and external network vulnerability scans at least quarterly and after any significant change in the network (such as new system component installations, changes in network topology, firewall rule modifications, product upgrades). N","A vulnerability scan is an automated tool run against external and internal network devices and servers, designed to expose potential vulnerabilities that could be found and exploited by malicious individuals. 

There are three types of vulnerability scanning required for PCI DSS: 

. Internal quarterly vulnerability scanning by qualified personnel (use of a PCI SSC Approved Scanning Vendor (ASV) is not required) 
. External quarterly vulnerability scanning, which must be performed by an ASV 
. Internal and external scanning as needed after significant changes 


Once these weaknesses are identified, the entity corrects them and repeats the scan until all 
vulnerabilities have been corrected. 

Identifying and addressing vulnerabilities in a timely manner reduces the likelihood of a 
vulnerability being exploited and potential compromise of a system component or cardholder data. ",11.2 Examine scan reports and supporting documentation to verify that internal and external vulnerability scans are performed as follows:
PCI 11.2.1,"PCI 11.2.1: Perform quarterly internal vulnerability scans and rescans as needed, until all “high-risk” vulnerabilities (as identified in Requirement 6.1) are resolved. Scans must be performed by qualified personnel.","An established process for identifying 
vulnerabilities on internal systems requires that vulnerability scans be conducted quarterly. Vulnerabilities posing the greatest risk to the 
environment (for example, ranked “High” per Requirement 6.1) should be resolved with the highest priority. 

Internal vulnerability scans can be performed by qualified, internal staff that are reasonably independent of the system component(s) being 
scanned (for example, a firewall administrator should not be responsible for scanning the 
firewall), or an entity may choose to have internal vulnerability scans performed by a firm specializing 
in vulnerability scanning. ","11.2.1.a Review the scan reports and verify that four quarterly internal scans occurred in the most recent 12-month period. 

11.2.1.b Review the scan reports and verify that the scan process includes rescans until all “high-risk” vulnerabilities as defined in PCI DSS Requirement 6.1 are resolved.

11.2.1.c Interview personnel to verify that the scan was performed by a qualified internal resource(s) or qualified external third party, and if applicable, organizational 
independence of the tester exists (not required to be a QSA or ASV). "
PCI 11.2.2,"PCI 11.2.2: Perform quarterly external vulnerability scans, via an Approved Scanning Vendor (ASV) approved by the Payment Card Industry Security Standards Council (PCI SSC). Perform rescans as needed, until passing scans are achieved. Note: Quarterly ext","As external networks are at greater risk of compromise, quarterly external vulnerability scanning must be performed by a PCI SSC Approved Scanning Vendor (ASV). ","11.2.2.a Review output from the four most recent quarters of external vulnerability scans and verify that four quarterly external vulnerability scans occurred in the most recent 12-month period. 

11.2.2.b Review the results of each quarterly scan and rescan to verify that the ASV Program Guide requirements for a passing scan have been met (for example, no vulnerabilities rated 4.0 or higher by the CVSS, and no 
automatic failures). 

11.2.2.c Review the scan reports to verify that the scans were completed by a PCI SSC Approved Scanning Vendor (ASV). "
PCI 11.2.3,"PCI 11.2.3: Perform internal and external scans, and rescans as needed, after any significant change. Scans must be performed by qualified personnel.","The determination of what constitutes a significant change is highly dependent on the configuration of 
a given environment. If an upgrade or modification could allow access to cardholder data or affect the 
security of the cardholder data environment, then it could be considered significant. 

Scanning an environment after any significant changes are made ensures that changes were completed appropriately such that the security of 
the environment was not compromised as a result of the change. All system components affected by the change will need to be scanned. ","11.2.3.a Inspect and correlate change control 
documentation and scan reports to verify that system components subject to any significant change were scanned. 

11.2.3.b Review scan reports and verify that the scan process includes rescans until: 

. For external scans, no vulnerabilities exist that are scored 4.0 or higher by the CVSS. 
. For internal scans, all “high-risk” vulnerabilities as defined in PCI DSS Requirement 6.1 are resolved. 

11.2.3.c Validate that the scan was performed by a qualified internal resource(s) or qualified external third party, and if 
applicable, organizational independence of the tester exists (not required to be a QSA or ASV). "
PCI 11.3,"PCI 11.3: Implement a methodology for penetration testing that includes the following: . Is based on industry-accepted penetration testing approaches (for example, NIST SP800-115) . Includes coverage for the entire CDE perimeter and critical systems .","The intent of a penetration test is to simulate a real-world attack situation with a goal of identifying how far an attacker would be able to penetrate into an environment. This allows an entity to gain a better understanding of their potential exposure and develop a strategy to defend against attacks. 

A penetration test differs from a vulnerability scan, as a penetration test is an active process that may include exploiting identified vulnerabilities. Conducting a vulnerability scan may be one of the first steps a penetration tester will perform in order to plan the testing strategy, although it is not the only step. Even if a vulnerability scan does not detect known vulnerabilities, the penetration tester will often gain enough knowledge about the system to identify possible security gaps. 

Penetration testing is generally a highly manual process. While some automated tools may be used, the tester uses their knowledge of systems to penetrate into an environment. Often the tester will chain several types of exploits together with a goal of breaking through layers of defenses. For 
example, if the tester finds a means to gain access to an application server, they will then use the compromised server as a point to stage a new attack based on the resources the server has access to. In this way, a tester is able to simulate the methods performed by an attacker to identify areas of potential weakness in the environment. 

Penetration testing techniques will be different for different organizations, and the type, depth, and complexity of the testing will depend on the specific environment and the organization’s risk assessment. ","11.3 Examine penetration-testing methodology and interview responsible personnel to verify a methodology is implemented that includes the following: 

. Is based on industry-accepted penetration testing approaches (for example, NIST SP800-115) 
. Includes coverage for the entire CDE perimeter and critical systems 
. Testing from both inside and outside the network 
. Includes testing to validate any segmentation and scope-reduction controls 
. Defines application-layer penetration tests to include, at a minimum, the vulnerabilities listed in Requirement 6.5 
. Defines network-layer penetration tests to include components that support network functions as well as operating systems 
. Includes review and consideration of threats and vulnerabilities experienced in the last 12 months 
. Specifies retention of penetration testing results and remediation activities results. "
PCI 11.3.1,"PCI 11.3.1: Perform external penetration testing at least annually and after any significant infrastructure or application upgrade or modification (such as an operating system upgrade, a sub-network added to the environment, or a web server added to the","Penetration testing conducted on a regular basis and after significant changes to the environment is 
a proactive security measure that helps minimize potential access to the CDE by malicious individuals. 

The determination of what constitutes a significant upgrade or modification is highly dependent on the 
configuration of a given environment. If an upgrade or modification could allow access to cardholder data or affect the security of the cardholder data environment, then it could be considered significant. Performing penetration tests after network upgrades and modifications provides 
assurance that the controls assumed to be in place are still working effectively after the upgrade or 
modification. ","11.3.1.a Examine the scope of work and results from the most recent external penetration test to verify that penetration testing is performed as follows: 

. Per the defined methodology 
. At least annually 
. After any significant changes to the environment. 

11.3.1.b Verify that the test was performed by a qualified internal resource or qualified external third party, and if applicable, organizational independence of the tester exists (not required to be a QSA or ASV). "
PCI 11.3.2,"PCI 11.3.2: Perform internal penetration testing at least annually and after any significant infrastructure or application upgrade or modification (such as an operating system upgrade, a sub-network added to the environment, or a web server added to the",,"11.3.2.a Examine the scope of work and results from the most recent internal penetration test to verify that penetration testing is performed at least annually and after any significant changes to the environment. 

. Per the defined methodology 
. At least annually 
. After any significant changes to the environment. 

11.3.2.b Verify that the test was performed by a qualified internal resource or qualified external third party, and if applicable, organizational independence of the tester exists (not required to be a QSA or ASV). "
PCI 11.3.3,PCI 11.3.3: Exploitable vulnerabilities found during penetration testing are corrected and testing is repeated to verify the corrections.,,11.3.3 Examine penetration testing results to verify that noted exploitable vulnerabilities were corrected and that repeated testing confirmed the vulnerability was corrected.
PCI 11.3.4,"PCI 11.3.4: If segmentation is used to isolate the CDE from other networks, perform penetration tests at least annually and after any changes to segmentation controls/methods to verify that the segmentation methods are operational and effective, and iso","Penetration testing is an important tool to confirm that any segmentation in place to isolate the CDE from other networks is effective. The penetration 
testing should focus on the segmentation controls, both from outside the entity’s network and from 
inside the network but outside of the CDE, to confirm that they are not able to get through the segmentation controls to access the CDE. For example, network testing and/or scanning for open ports, to verify no connectivity between in-scope and out-of-scope networks. ","11.3.4.a Examine segmentation controls and review penetration-testing methodology to verify that penetration-testing procedures are defined to test all segmentation methods to confirm they are operational and effective, and isolate all out-of-scope systems from in-scope systems. 

11.3.4.b Examine the results from the most recent penetration test to verify that penetration testing to verify segmentation controls: 

. Is performed at least annually and after any changes to segmentation controls/methods. 
. Covers all segmentation controls/methods in use. .
 Verifies that segmentation methods are operational and effective, and isolate all out-of-scope systems from in-scope systems. "
PCI 11.4,PCI 11.4: Use intrusion-detection and/or intrusion-prevention techniques to detect and/or prevent intrusions into the network. Monitor all traffic at the perimeter of the cardholder data environment as well as at critical points in the cardholder data e,"Intrusion detection and/or intrusion prevention techniques (such as IDS/IPS) compare the traffic 
coming into the network with known “signatures” and/or behaviors of thousands of compromise types (hacker tools, Trojans, and other malware), and send alerts and/or stop the attempt as it happens. Without a proactive approach to unauthorized activity detection, attacks on (or 
misuse of) computer resources could go unnoticed in real time. Security alerts generated by these techniques should be monitored so that the 
attempted intrusions can be stopped.","11.4.a Examine system configurations and network diagrams to verify that techniques (such as intrusion-detection systems 
and/or intrusion-prevention systems) are in place to monitor all traffic: 

. At the perimeter of the cardholder data environment 
. At critical points in the cardholder data environment. 

11.4.b Examine system configurations and interview responsible personnel to confirm intrusion-detection and/or intrusion-prevention techniques alert personnel of suspected compromises. 

11.4.c Examine IDS/IPS configurations and vendor documentation to verify intrusion-detection and/or intrusion-prevention techniques are configured, maintained, and 
updated per vendor instructions to ensure optimal protection. "
PCI 11.5,"PCI 11.5: Deploy a change-detection mechanism (for example, file-integrity monitoring tools) to alert personnel to unauthorized modification of critical system files, configuration files, or content files; and configure the software to perform critical...","Change-detection solutions such as file-integrity monitoring (FIM) tools check for changes to critical files, and notify when such changes are detected. If not implemented properly and the output of the change-detection solution monitored, a malicious individual could alter configuration file contents, 
operating system programs, or application executables. Unauthorized changes, if undetected, 
could render existing security controls ineffective and/or result in cardholder data being stolen with no perceptible impact to normal processing. ","11.5.a Verify the use of a change-detection mechanism within the cardholder data environment by observing system settings 
and monitored files, as well as reviewing results from monitoring activities. 

Examples of files that should be monitored: 

. System executables 
. Application executables 
. Configuration and parameter files 
. Centrally stored, historical or archived, log and audit files 
. Additional critical files determined by entity (for example, through risk assessment or other means). 

11.5.b Verify the mechanism is configured to alert personnel to unauthorized modification of critical files, and to perform critical file comparisons at least weekly. "
PCI 11.5.1,PCI 11.5.1: Implement a process to respond to any alerts generated by the change-detection solution.,,11.5.1 Interview personnel to verify that all alerts are investigated and resolved.
PCI 11.6,"PCI 11.6: Ensure that security policies and operational procedures for security monitoring and testing are documented, in use, and known to all affected parties.","Personnel need to be aware of and following security policies and operational procedures for security monitoring and testing on a continuous basis. 
","11.6 Examine documentation interview personnel to verify that security policies and operational procedures for security monitoring and testing are: 

. Documented, 
. In use, and 
. Known to all affected parties. "
PCI 12,PCI 12: Maintain a policy that addresses information security for all personnel,,
PCI 12.1,"PCI 12.1: Establish, publish, maintain, and disseminate a security policy.","A company's information security policy creates the roadmap for implementing security measures 
to protect its most valuable assets. All personnel should be aware of the sensitivity of data and their 
responsibilities for protecting it. ","12.1 Examine the information security policy and verify that the policy is published and disseminated to all relevant personnel 
(including vendors and business partners). "
PCI 12.1,PCI 12.10: Implement an incident response plan. Be prepared to respond immediately to a system breach.,"Without a thorough security incident response plan that is properly disseminated, read, and understood by the parties responsible, confusion 
and lack of a unified response could create further downtime for the business, unnecessary public media exposure, as well as new legal liabilities. ",12.10 Examine the incident response plan and related procedures to verify entity is prepared to respond immediately to a system breach by performing the following:
PCI 12.1.1,PCI 12.1.1: Review the security policy at least annually and update the policy when the environment changes.,"Security threats and protection methods evolve rapidly. Without updating the security policy to 
reflect relevant changes, new protection measures to fight against these threats are not addressed. ","12.1.1 Verify that the information security policy is reviewed at least annually and updated as needed to reflect changes 
to business objectives or the risk environment. "
PCI 12.10.1,"PCI 12.10.1: Create the incident response plan to be implemented in the event of system breach. Ensure the plan addresses the following, at a minimum: . Roles, responsibilities, and communication and contact strategies in the event of a compromise includi","The incident response plan should be thorough and contain all the key elements to allow your company to respond effectively in the event of a 
breach that could impact cardholder data. ","12.10.1.a Verify that the incident response plan includes: 

. Roles, responsibilities, and communication strategies in the event of a compromise including notification of the payment brands, at a minimum 
. Specific incident response procedures 
. Business recovery and continuity procedures 
. Data backup processes 
. Analysis of legal requirements for reporting 
compromises (for example, California Bill 1386, which requires notification of affected consumers in the event of an actual or suspected compromise for any business 
with California residents in their database) 
. Coverage and responses for all critical system components 
. Reference or inclusion of incident response procedures from the payment brands. 

12.10.1.b Interview personnel and review documentation from a sample of previously reported incidents or alerts to verify that the documented incident response plan and 
procedures were followed. "
PCI 12.10.2,PCI 12.10.2: Test the plan at least annually.,"Without proper testing, key steps may be missed, which could result in increased exposure during an incident. ",12.10.2 Verify that the plan is tested at least annually.
PCI 12.10.3,PCI 12.10.3: Designate specific personnel to be available on a 24/7: basis to respond to alerts.,"Without a trained and readily available incident response team, extended damage to the network 
could occur, and critical data and systems may become “polluted” by inappropriate handling of the 
targeted systems. This can hinder the success of a post-incident investigation. ","12.10.3 Verify through observation, review of policies, and interviews of responsible personnel that designated personnel are available for 24/7 incident response and 
monitoring coverage for any evidence of unauthorized activity, detection of unauthorized wireless access points, 
critical IDS alerts, and/or reports of unauthorized critical system or content file changes. "
PCI 12.10.4,PCI 12.10.4: Provide appropriate training to staff with security breach response responsibilities.,,"12.10.4 Verify through observation, review of policies, and interviews of responsible personnel that staff with responsibilities for security breach response are periodically 
trained. "
PCI 12.10.5,"PCI 12.10.5: Include alerts from security monitoring systems, including but not limited to intrusion-detection, intrusion-prevention, firewalls, and file-integrity monitoring systems.","These monitoring systems are Designed to focus on potential risk to data, are critical in taking quick 
action to prevent a breach, and must be included in the incident-response processes. ","12.10.5 Verify through observation and review of processes that monitoring and responding to alerts from security monitoring systems, including detection of unauthorized wireless access points, are covered in the incident response plan. "
PCI 12.10.6,PCI 12.10.6: Develop a process to modify and evolve the incident response plan according to lessons learned and to incorporate industry developments.,"Incorporating “lessons learned” into the incident response plan after an incident helps keep the plan current and able to react to emerging threats 
and security trends. 
","12.10.6 Verify through observation, review of policies, and interviews of responsible personnel that there is a process to modify and evolve the incident response plan according to lessons learned and to incorporate industry developments. "
PCI 12.2,"PCI 12.2: Implement a risk-assessment process that: . Is performed at least annually and upon significant changes to the environment (for example, acquisition, merger, relocation, etc.), . Identifies critical assets, threats, and vulnerabilities, and","A risk assessment enables an organization to identify threats and associated vulnerabilities with 
the potential to negatively impact their business. Resources can then be effectively allocated to implement controls that reduce the likelihood 
and/or the potential impact of the threat being realized. 

Performing risk assessments at least annually and upon significant changes allows the organization 
to keep up to date with organizational changes and evolving threats, trends, and technologies. ","12.2.a Verify that an annual risk-assessment process is documented that identifies assets, threats, vulnerabilities, and results in a formal risk assessment. 

12.2.b Review risk-assessment documentation to verify that the risk-assessment process is performed at least annually and upon significant changes to the environment. "
PCI 12.3,"PCI 12.3: Develop usage policies for critical technologies and define proper use of these technologies. Note: Examples of critical technologies include, but are not limited to, remote access and wireless technologies, laptops, tablets, removable electro","Personnel usage policies can either prohibit use of certain devices and other technologies if that is company policy, or provide guidance for personnel as to correct usage and 
implementation. If usage policies are not in place, personnel may use the technologies in violation of company policy, thereby allowing malicious individuals to gain access to critical systems and cardholder data. ","12.3 Examine the usage policies for critical technologies and interview responsible personnel to verify the following policies 
are implemented and followed: 
"
PCI 12.3.1,PCI 12.3.1: Explicit approval by authorized parties,"Without requiring proper approval for 
implementation of these technologies, individual personnel may innocently implement a solution to a perceived business need, but also open a huge hole that subjects critical systems and data to malicious individuals.",12.3.1 Verify that the usage policies include processes for explicit approval from authorized parties to use the technologies.
PCI 12.3.10,"PCI 12.3.10: For personnel accessing cardholder data via remote-access technologies, prohibit the copying, moving, and storage of cardholder data onto local hard drives and removable electronic media, unless explicitly authorized for a defined business n","To ensure all personnel are aware of their responsibilities to not store or copy cardholder data onto their local personal computers or other media, your policy should clearly prohibit such activities except for personnel that have been explicitly authorized to do so. Storing or copying cardholder data onto a local hard drive or other 
media must be in accordance with all applicable PCI DSS requirements. ","12.3.10.a Verify that the usage policies prohibit copying, moving, or storing of cardholder data onto local hard drives 
and removable electronic media when accessing such data via remote-access technologies. 

12.3.10.b For personnel with proper authorization, verify that usage policies require the protection of cardholder data in 
accordance with PCI DSS Requirements. 

"
PCI 12.3.2,PCI 12.3.2: Authentication for use of the technology,"If technology is implemented without proper authentication (user IDs and passwords, tokens, VPNs, etc.), malicious individuals may easily use 
this unprotected technology to access critical systems and cardholder data. ","12.3.2 Verify that the usage policies include processes for all technology use to be authenticated with user ID and password or other authentication item (for example, token). "
PCI 12.3.3,PCI 12.3.3: A list of all such devices and personnel with access,"Malicious individuals may breach physical security and place their own devices on the network as a “back door.” Personnel may also bypass 
procedures and install devices. An accurate inventory with proper device labeling allows for quick identification of non-approved installations. ",12.3.3 Verify that the usage policies define a list of all devices and personnel authorized to use the devices.
PCI 12.3.4,"PCI 12.3.4: A method to accurately and readily determine owner, contact information, and purpose (for example, labeling, coding, and/or inventorying of devices)","Malicious individuals may breach physical security and place their own devices on the network as a “back door.” Personnel may also bypass 
procedures and install devices. An accurate inventory with proper device labeling allows for quick identification of non-approved installations. Consider establishing an official naming convention for devices, and log all devices with 
established inventory controls. Logical labeling may be employed with information such as codes that can correlate the device to its owner, contact information, and purpose. ","12.3.4 Verify that the usage policies define a method to accurately and readily determine owner, contact information, and purpose (for example, labeling, coding, and/or inventorying of devices). 
"
PCI 12.3.5,PCI 12.3.5: Acceptable uses of the technology,"By defining acceptable business use and location of company-approved devices and technology, the company is better able to manage and control 
gaps in configurations and perational controls, to ensure a “back door” is not opened for a malicious individual to gain access to critical systems and 
cardholder data. ",12.3.5 Verify that the usage policies define acceptable uses for the technology.
PCI 12.3.6,PCI 12.3.6: Acceptable network locations for the technologies,,12.3.6 Verify that the usage policies define acceptable network locations for the technology.
PCI 12.3.7,PCI 12.3.7: List of company-approved products,,"12.3.7 Verify that the usage policies include a list of company-approved products. 
"
PCI 12.3.8,PCI 12.3.8: Automatic disconnect of sessions for remote-access technologies after a specific period of inactivity,"Remote-access technologies are frequent ""back doors"" to critical resources and cardholder data. 
By disconnecting remote-access technologies when not in use (for example, those used to support your systems by your POS vendor, other 
vendors, or business partners), access and risk to networks is minimized. ","12.3.8.a Verify that the usage policies require automatic disconnect of sessions for remote-access technologies after a specific period of inactivity. 

12.3.8.b Examine configurations for remote access technologies to verify that remote access sessions will be automatically disconnected after a specific period of 
inactivity. "
PCI 12.3.9,"PCI 12.3.9: Activation of remote-access technologies for vendors and business partners only when needed by vendors and business partners, with immediate deactivation after use",,"12.3.9 Verify that the usage policies require activation of remote-access technologies used by vendors and business partners only when needed by vendors and business partners, with immediate deactivation after use. "
PCI 12.4,PCI 12.4: Ensure that the security policy and procedures clearly define information security responsibilities for all personnel.,"Without clearly defined security roles and responsibilities assigned, there could be inconsistent interaction with the security group, leading to unsecured implementation of 
technologies or use of outdated or unsecured technologies. ","12.4.a Verify that information security policies clearly define information security responsibilities for all personnel. 

12.4.b Interview a sample of responsible personnel to verify they understand the security policies. "
PCI 12.5,PCI 12.5: Assign to an individual or team the following information security management responsibilities:,"Each person or team with responsibilities for information security management should be 
clearly aware of their responsibilities and related tasks, through specific policy. Without this accountability, gaps in processes may open access into critical resources or cardholder data. ","12.5 Examine information security policies and procedures to verify: 

. The formal assignment of information security to a Chief Security Officer or other security-knowledgeable member of management. 
. The following information security responsibilities are specifically and formally assigned: "
PCI 12.5.1,"PCI 12.5.1: Establish, document, and distribute security policies and procedures.",,"12.5.1 Verify that responsibility for establishing, documenting and distributing security policies and procedures is formally 
assigned."
PCI 12.5.2,"PCI 12.5.2: Monitor and analyze security alerts and information, and distribute to appropriate personnel.",,"12.5.2 Verify that responsibility for monitoring and analyzing security alerts and distributing information to appropriate information security and business unit management 
personnel is formally assigned. "
PCI 12.5.3,"PCI 12.5.3: Establish, document, and distribute security incident response and escalation procedures to ensure timely and effective handling of all situations.",,"12.5.3 Verify that responsibility for establishing, documenting, and distributing security incident response and escalation procedures is formally assigned. "
PCI 12.5.4,"PCI 12.5.4: Administer user accounts, including additions, deletions, and modifications.",,"12.5.4 Verify that responsibility for administering (adding, deleting, and modifying) user account and authentication 
management is formally assigned. "
PCI 12.5.5,PCI 12.5.5: Monitor and control all access to data.,,12.5.5 Verify that responsibility for monitoring and controlling all access to data is formally assigned.
PCI 12.6,PCI 12.6: Implement a formal security awareness program to make all personnel aware of the importance of cardholder data security.,"If personnel are not educated about their security responsibilities, security safeguards and processes that have been implemented may become ineffective through errors or intentional actions.","12.6.a Review the security awareness program to verify it provides awareness to all personnel about the importance of 
cardholder data security. 

12.6.b Examine security awareness program procedures and documentation and perform the following: "
PCI 12.6.1,PCI 12.6.1: Educate personnel upon hire and at least annually. Note: Methods can vary depending on the role of the personnel and their level of access to the cardholder data.,"If the security awareness program does not include periodic refresher sessions, key security processes and procedures may be forgotten or 
bypassed, resulting in exposed critical resources and cardholder data. ","12.6.1.a Verify that the security awareness program provides multiple methods of communicating awareness and educating personnel (for example, posters, letters, memos, web-based training, meetings, and promotions). 

12.6.1.b Verify that personnel attend security awareness training upon hire and at least annually. 

12.6.1.c Interview a sample of personnel to verify they have completed awareness training and are aware of the importance of cardholder data security. "
